,Country,Population,Water,Electricity,Sanitation,fuel %,GDPP,Life expectancy,Child mortality,Fertility rate,Schooling,Maternal mortality ratio,Poverty,Gini
0,Afghanistan,40099460,75.091415,97.7,50.499645,35.4,1516.3057,61.9824,5.565748200000001,3.77,10.263844,638.0,64.2,2123.6765
1,Albania,2854710,95.06804,100.0,99.29879,83.7,14518.906,76.4626,0.9455919,1.7,14.448,15.0,0.0,13484.705
2,Algeria,44177964,94.43733,99.80413,85.96547,99.7,11039.806,76.3767,2.2335287000000004,2.46,14.626896,112.0,0.45546752,10794.7295
5,Angola,34503776,57.167736,46.89061,51.660328,50,5908.57,61.6434,6.942133,5.28,12.1721,241.0,31.122005,5298.7197
7,Antigua and Barbuda,93229,96.73919,100.0,87.50428,100,19124.43,78.4968,0.6144562200000001,1.99,14.184627,42.0,2.3,19663.244
8,Argentina,45276788,99.02386,100.0,95.4177,99.9,21527.195,75.3899,0.6918198600000001,2.2,17.87487,39.0,1.0,21093.475
9,Armenia,2790971,99.97118,100.0,93.936745,98.4,14193.117,72.0431,1.0721141,1.58,13.11676,26.0,0.3881346,13813.882
11,Australia,25921094,99.96981,100.0,99.99115,100,49774.34,84.5265,0.37119224,1.8,21.05459,2.0,0.49709398,51248.055
12,Austria,8922086,100.0,100.0,99.9726,100,54121.145,81.5797,0.36575947,1.56,16.00796,2.4,0.6406389,53848.19
13,Azerbaijan,10312992,96.04337,100.0,96.12903,98.3,14431.661,69.3658,1.85862,1.99,13.49689,26.0,0.0,13587.531
14,Bahamas,407920,98.88696,100.0,94.93058,100.0,30210.162,71.5983,1.3159127000000002,1.72,12.89945,70.0,2.1,28167.27
15,Bahrain,1463266,100.0,100.0,100.0,100,49387.418,78.7605,0.6915642000000001,1.9,16.29756,14.0,0.2,44654.832
16,Bangladesh,169356240,97.69796,96.2,54.164696,26.5,5911.013,72.3811,2.7273630000000004,1.95,12.44198,173.0,13.468303,6220.5425
17,Barbados,281204,98.51445,100.0,98.09246,100,13754.803,77.5714,1.1913524000000002,1.81,15.713385,27.0,2.5,15471.39
18,Belarus,9578172,96.53473,100.0,97.90432,99.6,19751.203,72.438,0.27249396,1.75,15.16997,2.0,0.0,18976.934
19,Belgium,11611416,100.0,100.0,99.48616,100,51739.54,81.8787,0.41006517,1.81,19.60422,5.0,0.07855246,51900.027
20,Belize,400037,98.401955,97.113335,88.21428,83,8762.623,70.4697,1.1186618,2.33,12.99169,36.0,18.013285,8510.218
21,Benin,12996901,65.41412,41.410957,16.962885,4.6,3321.5522,59.821,8.352425,4.57,10.76668,397.0,19.896006,3409.7256
23,Bhutan,777500,97.313225,100.0,76.50655,87,10907.856,71.815,2.6687412,1.88,13.225005,183.0,0.9457624,10240.747
24,Bolivia,12079474,93.39007,97.55412,65.756424,88.3,8052.1772,63.6304,2.4691938,2.66,14.946971,155.0,3.1159627,7842.712
25,Bosnia and Herzegovina,3270948,96.1139,100.0,95.38506,41.65,15666.54,75.3003,0.56006002,1.44,13.8,10.0,0.07497876,15426.4
26,Botswana,2588424,92.21356,71.99476,80.026245,65.7,14840.913,61.1409,3.486942,2.49,12.265138,144.0,15.426242,14050.16
27,Brazil,214326224,99.320854,100.0,90.07847,96.5,14592.353,72.7504,1.4410983000000002,1.65,15.59906,60.0,1.9495585,14196.515
29,Brunei,445382,99.90004,100.0,96.349045,100.0,60127.023,74.6424,1.1475964,1.81,13.95178,31.0,0.2,60717.055
30,Bulgaria,6885864,99.01141,99.7,86.034966,99.0,24398.13,71.798,0.6324278400000001,1.64,13.89729,10.0,0.9236337,23729.287
31,Burkina Faso,22100690,47.214855,18.95724,21.664373,11.7,2179.789,59.2696,8.260758000000001,4.87,9.1421,320.0,30.535313,1993.479
32,Burundi,12551215,62.207123,11.735556,45.727512,0.2,705.0304,61.6627,5.260476000000001,5.22,10.722722,548.0,65.1329,707.4984
33,Cambodia,16589031,71.21989,86.4,68.7693,44.5,4354.5654,69.5835,2.476356,2.39,11.46772,160.0,14.2,4124.446
34,Cameroon,27198632,65.72042,64.72137,44.631123,22.8,3700.4644,60.3334,6.9788025000000005,4.32,13.1086,529.0,25.657518,3473.2869
35,Canada,38155012,99.22181,100.0,99.03286,100,47892.945,82.6565,0.5041324,1.56,16.39626,8.4,0.24701065,48880.203
36,Cape Verde,587936,88.76961,94.16174,79.11569,67.3,6114.1333,74.0518,1.3548837000000002,2.15,12.554614,58.0,4.564231,5995.911
38,Central African Republic,5457165,37.2024,15.465084,14.118635,0.900000000000001,837.5047,53.8947,9.991608,4.43,8.040172,829.0,61.884224,900.4156
39,Chad,17179744,46.187534,11.080117,12.063701,8,1425.4945,52.5254,10.7065475,5.36,8.035914,1140.0,30.882942,1381.3679
40,Chile,19493184,100.0,100.0,100.0,100,25449.13,78.9435,0.6553434,1.74,16.7313,22.1,0.7495031,23915.824
41,China,1425893504,94.26111,100.0,92.376175,83.2,17602.695,78.2107,0.6934592,1.66,14.2361145,29.0,0.14242859,17443.963
42,Colombia,51516560,97.49165,100.0,93.68063,93.3,14648.592,72.8296,1.2848156,1.75,14.44275,50.7,10.821042,14403.697
43,Comoros,821632,80.210495,86.73714,35.906673,11.3,3228.5269,63.4174,4.971674,3.95,11.924324,273.0,18.643723,3243.6853
44,Congo,5835814,73.784515,49.5171,20.459745,4.3,3234.393,63.5187,4.296786,4.31,12.330815,378.0,35.357452,3038.125
46,Costa Rica,5153959,99.81054,99.9,97.91499,95.9,21199.281,77.0232,0.7647508000000001,1.71,16.54577,34.4,2.2156878,19520.04
47,Cote d'Ivoire,27478250,70.90907,69.67912,34.565964,31.7,5325.0303,58.5983,7.478533,4.54,10.67558,617.0,11.448481,5160.829
48,Croatia,4060139,98.68488,100.0,96.56524,100,31635.824,77.5804,0.4640069,1.45,15.1121,8.0,0.25992584,31913.72
51,Cyprus,1244193,99.765175,100.0,99.39596,100,41701.703,81.2033,0.2785531,1.34,15.64827,6.0,0.15383178,38171.59
52,Czechia,10510748,99.88059,100.0,99.1335,100,40740.992,77.7283,0.27514143,1.63,16.21968,4.5,0.0,39220.508
53,Democratic Republic of Congo,95894120,45.952126,19.1,15.388672,3.81,1073.6433,59.193,7.896053999999999,5.52,9.817864,473.0,69.68845,984.52936
54,Denmark,5854246,100.0,100.0,99.59723,100,57962.652,81.3753,0.35842268,1.78,18.7148,1.6,0.25140718,60816.562
55,Djibouti,1105562,76.04992,61.767082,66.72263,9.6,4913.2563,62.3049,5.414123,2.53,7.43298,248.0,19.079206,4606.0767
57,Dominican Republic,11117873,96.68681,100.0,87.178185,91.5,18626.078,72.6146,3.3002884000000003,2.26,14.466558,95.0,1.0594949,17784.863
58,East Timor,1320944,85.4956,96.123314,56.766693,13.6,5032.41,67.7369,5.0548973,3.25,12.616098,142.0,8.006143,2004.954
59,Ecuador,17797736,95.359764,98.85,91.524925,94.7,10668.758,73.67,1.2460622,2.33,14.62423,59.0,6.519245,10497.084
60,Egypt,109262184,99.44018,100.0,97.32547,99.9,11566.05,70.2207,1.8957832,2.98,13.7865,37.0,2.504851,11212.345
61,El Salvador,6314165,97.94658,100.0,82.44975,92.7,9086.047,70.7479,1.2426689,1.96,12.671348,46.0,1.4019152,8588.543
62,Equatorial Guinea,1634473,64.66582,66.74773,66.31279,24.1,14637.008,60.5943,7.677500000000001,4.18,9.73494,301.0,65.1,10785.218
63,Eritrea,3620324,51.84972,52.171097,11.939966,11.5,643.79,66.5358,3.8091557,3.73,8.064525,480.0,63.4,1729.0
64,Estonia,1328704,99.59078,100.0,99.14177,100,38717.695,77.1436,0.19995837,1.7,15.92896,7.7,0.5569403,39141.113
65,Eswatini,1192273,70.753075,79.7305,64.292175,58.1,8856.829,57.0657,5.263263,2.81,13.744346,437.0,36.079845,8149.7666
66,Ethiopia,120283024,49.615574,51.093983,8.910278,7.5,2319.0684,64.9748,4.681146600000001,3.56,9.651072,401.0,27.00762,2307.3284
67,Fiji,924615,94.30106,100.0,99.160774,51.4,10359.204,67.114,2.772603,2.38,14.73679,34.0,1.3182689,11808.647
68,Finland,5535982,100.0,100.0,99.44792,100,48753.355,82.0381,0.21700695,1.79,19.05193,4.3,0.03882923,49950.05
69,France,64531448,100.0,100.0,98.647606,100,44993.125,82.4988,0.4353803,1.97,15.81207,8.0,0.021168055,46357.0
71,Gabon,2341185,85.341934,91.57156,49.824165,89.7,13813.723,65.821,3.974532,3.43,12.97731,252.0,2.468642,9745.512
72,Gambia,2639922,80.94041,62.273067,46.871223,1.7,2076.5664,62.083,4.7885857000000005,4.99,9.418626,597.0,13.382067,2018.1012
73,Georgia,3757984,97.34814,100.0,85.76673,90.6,15486.659,71.694,0.9479781,1.95,15.56852,25.0,5.8068676,14489.377
74,Germany,83408560,100.0,100.0,99.22562,100,53179.656,80.6301,0.35651188,1.5,17.01014,3.6,0.0,54764.41
75,Ghana,32833036,85.791,85.87355,23.702475,30.3,5435.238,63.7954,4.3974525,3.66,12.04778,308.0,25.294516,5279.6396
77,Greece,10445368,100.0,100.0,98.99375,100,29548.04,80.1106,0.37140977,1.31,20.02879,7.2,0.6895517,28817.932
78,Grenada,124624,95.62865,93.58645,91.49389,88.3,13688.256,74.9362,1.6180647,1.99,18.66202,25.0,3.5,13263.274
80,Guatemala,17608484,94.00643,97.05527,67.92858,48.1,8926.7,69.2368,2.3019255000000003,2.69,10.56245,95.0,9.521303,8729.555
81,Guinea,13531909,63.96179,44.66868,29.77614,1,2640.3442,58.8922,9.872694,4.41,9.805298,576.0,13.8201,2333.398
82,Guinea-Bissau,2060730,59.01691,33.33547,18.225044,1,1831.3832,59.6523,7.430531000000001,4.2,10.613063,667.0,21.66049,1835.1237
83,Guyana,804571,95.55481,92.54054,85.78251,82,21925.188,65.6734,2.7678371,2.37,12.502722,169.0,11.897037,21116.89
84,Haiti,11447575,66.695305,46.925533,37.121735,4.3,2870.145,63.1924,5.8632683000000005,2.65,9.7,480.0,29.192194,2873.0005
85,Honduras,10278346,95.689224,93.20671,83.77658,49.5,5572.177,70.1229,1.6555912,2.26,10.132814,65.0,12.742991,5123.181
86,Hungary,9709784,100.0,100.0,97.9837,100,33593.152,74.5301,0.39958823,1.45,15.033628,15.2,0.30170247,31985.291
87,Iceland,370338,100.0,100.0,98.78054,100,53586.156,82.6782,0.26358929,1.88,19.16306,3.3,0.0,53923.223
88,India,1407563904,90.489525,99.0,71.26848,71.1,6592.042,67.2398,3.0619213,2.2,11.87462,145.0,10.012203,6488.9126
89,Indonesia,273753184,92.41535,96.95,86.46264,86.9,11858.146,67.5703,2.2173412,2.22,13.748894,177.0,3.547444,11535.597
90,Iran,87923432,97.482635,100.0,90.26677,96.4,15004.6875,73.8749,1.2631342,1.54,14.61525,16.0,1.0503994,14698.79
91,Iraq,43533592,98.3599,100.0,99.969734,99.3,8962.395,70.3779,2.4521646,4.04,12.087473,79.0,0.08875246,8863.46
92,Ireland,4986525,97.399704,100.0,91.337364,100,102496.22,81.9976,0.31456897,1.97,18.94522,0.0,0.003921386,74860.55
93,Israel,8900057,100.0,100.0,99.949036,100,42061.242,82.255,0.33565948,2.82,16.05089,2.8,0.49676624,42212.586
94,Italy,59240336,99.91703,100.0,99.88516,100,41929.43,82.8502,0.261415,1.54,16.22679,2.9,1.4576468,42606.676
95,Jamaica,2827701,91.029945,100.0,86.60642,82.5,9596.564,70.5003,1.2398633,1.92,13.404921,80.0,1.177246,9317.608
96,Japan,124612528,99.07891,100.0,99.92176,100,40784.383,84.7839,0.23023767,1.53,15.221626,2.7,0.72788787,41902.94
97,Jordan,11148288,98.9403,99.9,97.08436,99.9,9223.147,74.2563,1.4598967,3.02,10.64656,46.0,0.040854882,9174.095
